ENTREZID,SYMBOL,logFC,logCPM,F,PValue,FDR
56473,Fads2,-2.05546132377591,6.84947079877209,60.7908231851097,9.25051748728732e-09,4.0559092384897e-06
66848,Fuca2,-1.29827347458822,4.91948339203858,60.7543136818943,9.30811297751639e-09,4.0559092384897e-06
17357,Marcksl1,1.95064742132924,6.54907765953908,60.6956497514777,9.4014600251978e-09,4.0559092384897e-06
72692,Hnrnpll,-1.46750152823173,5.67613250894458,60.4180192094884,9.85696612554629e-09,4.18597628634723e-06
22333,Vdac1,-1.1305719878457,7.48784220693132,60.1718420638777,1.0280563920742e-08,4.29869918156687e-06
217830,Dglucy,2.43563720913858,4.76316446619115,59.3917203500534,1.25170619064273e-08,5.1545640235574e-06
66044,Dtd1,-1.32094848979177,3.55520277754536,58.4385653680952,1.38716966222329e-08,5.54897939354094e-06
171567,Nme7,-1.27909181437885,3.8510001323929,58.4338305147694,1.38831671055147e-08,5.54897939354094e-06
17259,Mef2b,3.95259804989053,0.220486846550131,58.3178187759755,1.41673945969007e-08,5.58051619926324e-06
68219,Nudt21,-1.07105071546558,5.34874960861346,58.2175895704468,1.4417950189522e-08,5.59807811715739e-06
240505,Cdc42bpg,1.78679407904157,3.90626188062749,57.5481906786284,1.62172914858422e-08,6.20802486329161e-06
171486,Cd99l2,-1.02020077492614,4.78535339239561,57.3790667462323,1.67087972380512e-08,6.22887464259597e-06
19296,Pvt1,2.17310680909975,2.43955233234032,57.3718512064226,1.67301169619745e-08,6.22887464259597e-06
245527,Eda2r,4.4169697444584,1.19555230567479,59.8071672902904,1.7311133153528e-08,6.35809848621265e-06
67210,Gatad1,-0.822123316150763,5.53566175367014,56.9593899134504,1.79983479401409e-08,6.52236131553453e-06
230784,Sesn2,1.80380921927861,4.2617221158922,56.8488716241014,1.83553053584927e-08,6.56419532024308e-06
71345,Ano9,4.40490350624367,-0.816439954319249,56.5235075455746,1.94506878930241e-08,6.86558761356494e-06
11932,Atp1b2,-2.55097730925111,4.25559394372133,56.4245982527468,2.07501846075799e-08,7.23037522371043e-06
217057,Ptrh2,-1.22264004030393,4.64649183250166,55.9989687836072,2.13659282635421e-08,7.35069068702291e-06
26926,Aifm1,-1.14258615199486,6.24132702879054,55.6694323611293,2.26712395494775e-08,7.70227024644062e-06
77862,Thyn1,1.49791328183496,3.49769187119157,55.4775321036266,2.34703119230383e-08,7.87530379945997e-06
73139,Cenpv,-1.7794188825892,3.44150412895384,54.6790905460763,2.71320088699589e-08,8.99293742776358e-06
53618,Fut8,-0.944755130406619,5.34029748231782,53.9446081621981,3.10411001240576e-08,1.01646513285755e-05
23854,Def8,-1.61820138680145,5.31889034243496,53.7022231474509,3.24595180990892e-08,1.05025862192279e-05
107029,Me2,-1.04415551901255,5.96010919437724,53.4028095140964,3.43077141194673e-08,1.08650272745919e-05
67397,Erp29,-1.03103014751533,6.26465042960173,53.357776830105,3.45952547160354e-08,1.08650272745919e-05
17180,Matn1,5.21603209969096,-0.759874980608147,62.0417774883315,3.47789607008902e-08,1.08650272745919e-05
12519,Cd80,2.84824919694084,2.55875830400533,53.0180869393055,3.68487798558394e-08,1.13808294057029e-05
70396,Asnsd1,-0.92074029404867,5.73087414022346,52.8761515838072,3.7836283053285e-08,1.15545206416318e-05
213053,Slc39a14,2.20701711052743,6.47262887089851,53.5241211061276,3.91131052871351e-08,1.18117232066561e-05
50995,Uba2,-1.06326384375664,6.93884127627811,52.495129695186,4.06293582653072e-08,1.21347838273932e-05
17828,Bloc1s5,-1.25933378240139,4.00479217956727,52.2977694343769,4.21617860948859e-08,1.23965844717567e-05
26754,Cops5,-0.853542258583526,6.26087271032393,52.2230902722206,4.27576073748423e-08,1.23965844717567e-05
328795,Ubash3a,-1.64996560138893,4.83573760155672,52.2086017384286,4.28742389471697e-08,1.23965844717567e-05
19341,Rab4a,-2.15845560153469,3.57345823934773,52.1437560219798,4.34004128781597e-08,1.24166297012158e-05
71701,Pnpt1,-1.1204405808553,5.30542484064883,51.9420789735443,4.50813305429988e-08,1.26544458253039e-05
432999,A930007A09Rik,3.06817692780392,1.27921104455567,51.9325023554758,4.51628553314868e-08,1.26544458253039e-05
233987,Zfp958,1.36689256728224,3.27192552723698,51.5347108633533,4.8691989432783e-08,1.35040773550368e-05
217935,Wdr60,-1.85568136700986,2.83692192322209,51.274399603016,5.11597670295947e-08,1.37750616590962e-05
17685,Msh2,-1.45217902898454,5.70843158815997,51.245667267064,5.14402129647878e-08,1.37750616590962e-05
18105,Nqo2,-1.10760356920409,5.56276270567682,51.2430013096463,5.14663173629382e-08,1.37750616590962e-05
74105,Gga2,-1.26221341970769,5.15136119744593,51.2195664911771,5.16963938786495e-08,1.37750616590962e-05
67727,Stx17,-1.06609552456031,4.49713872001716,51.0802909497234,5.30865784848386e-08,1.40081564722275e-05
65111,Dap3,-1.09329018498802,6.17626146625063,50.8988890168717,5.49572897029193e-08,1.42839449254799e-05
70415,Stk26,-1.74274265792736,4.70645094095407,50.8774639495667,5.51828329657233e-08,1.42839449254799e-05
100504267,Trp53cor1,5.61784013332809,-1.01136981905542,52.650745869845,5.90468080818711e-08,1.51019267557126e-05
67266,Fam69a,-1.27753330640476,4.28082838432995,50.4884579943218,5.94542169638784e-08,1.51019267557126e-05
78908,Igsf3,-1.96993807818148,3.76944832509511,50.3669169290706,6.08599771856294e-08,1.53158640734095e-05
15354,Hmgb3,-1.75685853693775,6.51519553668813,50.2979313609327,6.16735997039119e-08,1.53782272142442e-05
67041,Oxct1,-1.08556388454079,5.75834488602953,50.1510928753449,6.34442867469805e-08,1.56759297226926e-05
634731,Susd1,-1.26812145979082,4.77869735377901,50.0069627716779,6.52351038181371e-08,1.59731971772356e-05
12070,Bex3,-1.57480401350721,4.9286675959049,49.770365419691,6.82926693290187e-08,1.65601121364741e-05
